怪物名称,MonsterName,MonsterImage,MonsterAI,MonsterEffect,MonsterLevel,MonsterLight,MonsterAttackSpeed,MonsterMoveSpeed,MonsterViewRange,MonsterCoolEye,MonsterExperience,MonsterCanPush,MonsterAutoRev,MonsterUndead,MonsterCanTame,MonsterDropPath,StatMinAC,StatMaxAC,StatMinMAC,StatMaxMAC,StatMinDC,StatMaxDC,StatMinMC,StatMaxMC,StatMinSC,StatMaxSC,StatAccuracy,StatAgility,StatHP,StatMP,StatAttackSpeed,StatLuck,StatBagWeight,StatHandWeight,StatWearWeight,StatReflect,StatStrong,StatHoly,StatFreezing,StatPoisonAttack,StatMagicResist,StatPoisonResist,StatHealthRecovery,StatSpellRecovery,StatPoisonRecovery,StatCriticalRate,StatCriticalDamage,StatMaxACRatePercent,StatMaxMACRatePercent,StatMaxDCRatePercent,StatMaxMCRatePercent,StatMaxSCRatePercent,StatAttackSpeedRatePercent,StatHPRatePercent,StatMPRatePercent,StatHPDrainRatePercent,StatExpRatePercent,StatItemDropRatePercent,StatGoldDropRatePercent,StatMineRatePercent,StatGemRatePercent,StatFishRatePercent,StatCraftRatePercent,StatSkillGainMultiplier,StatAttackBonus,StatLoverExpRatePercent,StatMentorDamageRatePercent,StatMentorExpRatePercent,StatDamageReductionPercent,StatEnergyShieldPercent,StatEnergyShieldHPGain,StatManaPenaltyPercent,StatTeleportManaPenaltyPercent,StatHero
欣苏1,Shinsu1,Shinsu1,18,0,32,5,1500,1500,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\Shinsu1,8,8,5,5,7,25,0,0,0,0,25,17,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
圣德瓦,HolyDeva,HolyDeva,38,0,30,2,2000,800,7,0,15,TRUE,TRUE,FALSE,FALSE,Misc\HolyDeva,30,30,38,38,23,35,1,0,0,0,15,15,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
克隆人,Clone,Guard,55,0,30,0,2000,800,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\Clone,8,8,5,5,25,40,25,40,0,0,15,15,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
纹身师,AssassinClone,Guard,59,0,30,0,100,100,7,0,0,FALSE,TRUE,FALSE,FALSE,Misc\AssassinClone,8,8,5,5,25,40,25,40,0,0,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VampireSpider,VampireSpider,VampireSpider,60,0,10,0,2500,1800,7,0,0,FALSE,TRUE,FALSE,FALSE,Misc\VampireSpider,1,3,0,0,4,8,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吐丝蟾蜍,SpittingToad,SpittingToad,61,0,10,0,2500,1800,7,0,0,FALSE,TRUE,FALSE,FALSE,Misc\SpittingToad,1,3,0,0,4,8,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蛇头,SnakeTotem,SnakeTotem,62,0,10,0,2500,1800,7,0,0,FALSE,TRUE,FALSE,FALSE,Misc\SnakeTotem,1,3,0,0,4,8,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
迷人的蛇,CharmedSnake,IcePhantom,63,0,10,0,2500,1800,7,0,0,FALSE,TRUE,FALSE,FALSE,Misc\CharmedSnake,1,3,0,0,4,8,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小猪,BabyPig,BabyPig,64,0,15,2,1200,900,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\BabyPig,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小鸡,Chick,Chick,64,1,15,2,1200,900,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\Chick,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小猫,Kitten,Kitten,64,2,15,0,1200,900,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\Kitten,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
骷髅宝宝,BabySkeleton,BabySkeleton,64,3,15,0,1200,900,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\BabySkeleton,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白冬,Baekdon,Baekdon,64,4,15,0,1200,900,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\Baekdon,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
威马恩,Wimaen,Wimaen,64,5,15,0,1200,900,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\Wimaen,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黑猫,BlackKitten,BlackKitten,64,6,15,0,1200,900,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\BlackKitten,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
龙宝宝,BabyDragon,BabyDragon,64,7,15,0,1200,900,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\BabyDragon,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奥林匹克火焰,OlympicFlame,OlympicFlame,64,8,15,0,1200,900,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\OlympicFlame,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
婴儿雪人,BabySnowMan,BabySnowMan,64,9,15,0,1200,900,7,0,0,TRUE,TRUE,FALSE,FALSE,Misc\BabySnowMan,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
母鸡,Hen,Hen,1,0,2,0,3000,1400,7,0,9,TRUE,TRUE,FALSE,TRUE,Provinces\Hen,0,0,0,0,1,1,0,0,0,0,3,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小鹿,Deer,Deer,2,0,12,0,3000,1400,7,0,18,TRUE,TRUE,FALSE,TRUE,Provinces\Deer,0,0,0,0,2,4,0,0,0,0,4,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿1,Deer1,Deer,2,0,12,0,3000,1400,7,0,18,TRUE,TRUE,FALSE,TRUE,Provinces\Deer1,0,0,0,0,2,4,0,0,0,0,4,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
猪,Pig,Pig,1,0,13,0,3000,1400,7,0,16,TRUE,TRUE,FALSE,TRUE,Provinces\Pig,0,0,0,0,1,3,0,0,0,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牛,Bull,Bull,1,0,13,0,3000,1400,7,0,24,TRUE,TRUE,FALSE,TRUE,Provinces\Bull,0,0,0,0,1,3,0,0,0,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
绵羊,Sheep,Sheep,2,0,13,0,3000,1400,7,0,27,TRUE,TRUE,FALSE,TRUE,Provinces\Sheep,0,0,0,0,1,3,0,0,0,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
狼,Wolf,Wolf,9,0,16,0,2500,1200,7,0,48,TRUE,TRUE,FALSE,TRUE,Provinces\Wolf,0,0,0,0,6,8,0,0,0,0,10,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
库里什,Currish,Wolf,9,0,16,0,2500,1200,7,0,150,TRUE,TRUE,FALSE,TRUE,SerpantValley\Currish,0,0,0,0,8,10,0,0,0,0,12,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牦牛,Yob,Yob,0,0,12,0,2500,1500,7,0,20,TRUE,TRUE,FALSE,TRUE,Provinces\Yob,0,0,0,0,0,5,0,0,0,0,6,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牦牛0,Yob0,Yob,0,0,12,0,2500,1500,7,0,20,TRUE,TRUE,FALSE,TRUE,Provinces\Yob0,0,0,0,0,0,5,0,0,0,0,6,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
稻草人,Scarecrow,Scarecrow,0,0,10,0,2500,1500,7,0,15,TRUE,TRUE,TRUE,FALSE,Provinces\Scarecrow,0,0,0,0,1,2,0,0,0,0,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
稻草人0,Scarecrow0,Scarecrow,0,0,10,0,2500,1500,7,0,15,TRUE,TRUE,TRUE,FALSE,Provinces\Scarecrow0,0,0,0,0,1,2,0,0,0,0,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
稻草人1,Scarecrow1,Scarecrow,0,0,10,0,2500,1500,7,0,15,TRUE,TRUE,TRUE,FALSE,Provinces\Scarecrow1,0,0,0,0,1,2,0,0,0,0,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钩子猫,HookingCat,HookingCat,0,0,13,0,2500,1500,7,0,23,TRUE,TRUE,TRUE,FALSE,Provinces\HookingCat,0,0,0,0,2,4,0,0,0,0,5,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钩子猫0,HookingCat0,HookingCat,0,0,13,0,2500,1500,7,0,23,TRUE,TRUE,TRUE,FALSE,Provinces\HookingCat0,0,0,0,0,2,4,0,0,0,0,5,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
敲打猫,RakingCat,RakingCat,0,0,13,0,2500,1500,7,0,27,TRUE,TRUE,TRUE,FALSE,Provinces\RakingCat,0,0,0,0,2,4,0,0,0,0,5,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RakingCat0,RakingCat0,RakingCat,0,0,13,0,2500,1500,7,0,27,TRUE,TRUE,TRUE,FALSE,Provinces\RakingCat0,0,0,0,0,2,4,0,0,0,0,5,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吐痰蜘蛛,SpittingSpider,SpittingSpider,4,0,16,0,2500,900,7,0,108,TRUE,TRUE,FALSE,TRUE,Provinces\SpittingSpider,2,2,1,1,6,9,0,0,2,4,8,15,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
食人植物,CannibalPlant,CannibalPlant,5,0,20,0,2500,1500,7,0,36,FALSE,TRUE,FALSE,FALSE,Provinces\CannibalPlant,2,2,0,0,6,7,0,0,0,0,12,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奥马,Oma,Oma,0,0,15,0,2500,1500,7,0,30,TRUE,TRUE,FALSE,TRUE,Provinces\Oma,1,1,0,0,4,9,0,0,0,0,6,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奥马0,Oma0,Oma,0,0,15,0,2500,1500,7,0,30,TRUE,TRUE,FALSE,TRUE,Provinces\Oma0,1,1,0,0,4,9,0,0,0,0,6,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
斗士OmaFighter,OmaFighter,OmaFighter,0,0,22,0,2000,1500,7,0,130,TRUE,TRUE,FALSE,TRUE,Provinces\OmaFighter0,3,3,1,1,5,12,0,0,0,0,10,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奥马战士0,OmaFighter0,OmaFighter,0,0,22,0,2000,1500,7,0,130,TRUE,TRUE,FALSE,TRUE,Provinces\OmaFighter0,3,3,1,1,5,12,0,0,0,0,10,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奥马勇士,OmaWarrior,OmaWarrior,0,0,28,10,1500,1500,7,0,720,TRUE,TRUE,FALSE,TRUE,Provinces\OmaWarrior,0,0,0,0,15,32,0,0,0,0,15,13,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OmaWarrior1,OmaWarrior1,OmaWarrior,0,0,28,10,1500,1500,7,0,800,FALSE,TRUE,FALSE,FALSE,Provinces\OmaWarrior1,0,0,0,0,18,36,0,0,0,0,20,17,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OmaWarrior2,OmaWarrior2,OmaWarrior,0,0,28,10,1500,1500,7,0,1000,FALSE,TRUE,FALSE,FALSE,Provinces\OmaWarrior2,0,0,0,0,22,38,0,0,0,0,17,20,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
森林耶提,ForestYeti,ForestYeti,0,0,16,0,2500,1500,7,0,36,TRUE,TRUE,FALSE,TRUE,Provinces\ForestYeti,2,2,0,0,7,10,0,0,0,0,7,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
森林猎手0,ForestYeti0,ForestYeti,0,0,16,0,2500,1500,7,0,36,TRUE,TRUE,FALSE,TRUE,Provinces\ForestYeti0,2,2,0,0,7,10,0,0,0,0,7,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
霜老虎,FrostTiger,FrostTiger,34,0,47,10,1000,800,7,0,3000,TRUE,TRUE,FALSE,TRUE,Provinces\FrostTiger,18,18,25,25,20,55,0,0,0,0,15,16,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栗子树,ChestnutTree,ChestnutTree,3,0,60,0,1000,1500,7,0,36,FALSE,TRUE,FALSE,FALSE,Provinces\ChestnutTree,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChestnutTree1,ChestnutTree1,ChestnutTree,3,0,60,0,1000,1500,7,0,36,FALSE,TRUE,FALSE,FALSE,Provinces\ChestnutTree1,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栗子树2,ChestnutTree2,ChestnutTree,3,0,60,0,1000,1500,7,0,36,FALSE,TRUE,FALSE,FALSE,Provinces\ChestnutTree2,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
乌木树,EbonyTree,EbonyTree,3,0,60,0,2500,1800,7,0,38,FALSE,TRUE,FALSE,FALSE,Provinces\EbonyTree,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
樱桃树,CherryTree,CherryTree,3,0,60,0,2500,1800,7,0,38,FALSE,TRUE,FALSE,FALSE,Provinces\CherryTree,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大蘑菇,LargeMushroom,LargeMushroom,3,0,60,0,1000,1500,7,0,38,FALSE,TRUE,TRUE,FALSE,Provinces\LargeMushroom,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
红蛇,RedSnake,RedSnake,0,0,17,0,2500,1200,7,0,70,TRUE,TRUE,FALSE,TRUE,Provinces\RedSnake,0,0,2,2,7,12,0,0,0,0,11,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
红蛇0,RedSnake0,RedSnake,0,0,17,0,2500,1200,7,0,70,TRUE,TRUE,FALSE,TRUE,Provinces\RedSnake0,1,2,2,2,7,12,0,0,0,0,11,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
红毒蛇,RedViper,RedSnake,0,0,17,0,2500,1200,7,0,90,TRUE,TRUE,FALSE,TRUE,Provinces\RedViper,0,0,2,4,9,14,0,0,0,0,11,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
虎蛇,TigerSnake,TigerSnake,0,0,17,0,2500,1200,7,0,98,TRUE,TRUE,FALSE,TRUE,Provinces\TigerSnake,0,0,2,2,10,11,0,0,0,0,12,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
